run_date,allrows_stores,perpin_stores,accepted
2026-06-29,295,502,1
2026-06-30,292,,1
2026-07-01,297,503,1
2026-07-02,300,504,1
2026-07-03,300,504,1
2026-07-04,307,507,1
2026-07-05,258,444,0
2026-07-06,303,505,1
2026-07-07,354,512,1
2026-07-08,348,510,1
2026-07-09,360,503,1
2026-07-10,360,507,1
2026-07-11,357,507,1
2026-07-13,455,602,1
2026-07-14,461,606,1
2026-07-15,446,580,1
2026-07-17,286,545,1
2026-07-18,142,436,1
2026-07-22,425,595,1
2026-07-23,417,593,1
2026-07-24,435,604,1
2026-07-25,436,601,1
2026-07-26,443,605,1
2026-07-27,440,601,1
2026-07-28,447,603,1
2026-07-29,448,607,1
2026-07-30,442,601,1
