date,regime,skus_tracked,listings,below,above,match,oos,pending,not_listed,exposure,store_violations,top_offender_sku,top_offender_platform,top_offender_diff
2026-06-06,SVD,113,904,85,35,51,113,7,613,5804,1977,EXTRA VIRGIN 5L,amazon,-360
2026-06-07,SVD,113,904,82,33,56,113,7,613,6174,2065,EXTRA VIRGIN 5L,amazon,-360
2026-06-08,BAU,113,904,139,26,2,117,7,613,10249,2825,EXTRA LIGHT 3L,amazon,-550
2026-06-09,BAU,113,904,139,25,2,118,7,613,9522,2835,EXTRA VIRGIN 5L,amazon,-420
2026-06-10,BAU,113,904,106,28,34,116,7,613,9098,3060,EXTRA VIRGIN 5L,amazon,-420
2026-06-11,BAU,113,904,95,30,46,120,0,613,10273,2787,EXTRA VIRGIN 5L,zepto,-2039
2026-06-12,SVD,113,904,78,86,6,121,0,613,5994,2279,EXTRA VIRGIN 5L,amazon,-320
2026-06-13,SVD,113,904,81,44,47,119,0,613,6987,2339,JIVO POMACE 5L,flipkart,-460
2026-06-14,SVD,113,904,81,43,48,119,0,613,7593,2479,EXTRA LIGHT 5L,flipkart,-540
2026-06-15,BAU,113,904,115,44,16,116,0,613,10637,3131,EXTRA LIGHT 5L,flipkart,-640
2026-06-16,BAU,113,904,101,23,43,124,0,613,9247,3098,EXTRA LIGHT 5L,flipkart,-640
2026-06-17,BAU,113,904,92,35,46,118,0,613,8274,3236,EXTRA VIRGIN 5L,amazon,-540
2026-06-18,BAU,113,904,95,40,40,116,0,613,9346,3552,EXTRA VIRGIN 5L,amazon,-340
2026-06-19,SVD,113,904,82,68,7,134,0,613,8643,2765,EXTRA LIGHT 5L,flipkart,-767
2026-06-20,SVD,113,904,84,38,51,118,0,613,8476,2808,EXTRA LIGHT 5L,amazon,-565
2026-06-21,SVD,113,904,84,37,53,117,0,613,9215,2681,EXTRA VIRGIN 5L,flipkart,-903
2026-06-22,BAU,113,904,121,29,23,118,0,613,11426,3949,EXTRA LIGHT 5L,flipkart,-669
2026-06-23,BAU,113,904,103,27,42,119,0,613,10372,3138,EXTRA VIRGIN 2L,flipkart,-467
2026-06-24,BAU,113,904,97,27,50,117,0,613,8824,3125,EXTRA VIRGIN 2L,flipkart,-467
2026-06-25,BAU,113,904,97,25,48,121,0,613,10354,2886,EXTRA VIRGIN 5L,flipkart,-770
2026-06-26,SVD,113,904,83,66,28,114,0,613,7716,2568,EXTRA VIRGIN 5L,flipkart,-670
2026-06-27,SVD,113,904,74,41,59,117,0,613,5709,2444,EXTRA VIRGIN 2L,flipkart,-300
2026-06-28,SVD,113,904,78,34,57,122,0,613,8325,3523,EXTRA VIRGIN 5L,flipkart,-952
2026-06-29,BAU,113,904,134,34,2,121,0,613,11754,4768,EXTRA VIRGIN 5L,flipkart,-1052
2026-06-30,BAU,113,904,101,29,41,120,0,613,12048,6880,EXTRA VIRGIN 5L,flipkart,-1052
