city,pincode,locality,note
Ahmedabad,380001,Ahmedabad GPO,Blinkit delivers here but Jivo not listed
Ahmedabad,380003,DELIVERY HUB AHMEDABAD,Blinkit delivers here but Jivo not listed
Ahmedabad,380004,Shahibag SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380005,Sabarmati SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380006,Ellisbridge SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380007,Paldi SO Ahmedabad,Blinkit delivers here but Jivo not listed
Ahmedabad,380008,Maninagar SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380009,Navrangpura HO,Blinkit delivers here but Jivo not listed
Ahmedabad,380013,Naranpura Vistar SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380014,Navjivan SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380015,Manekbag SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380018,Saraspur SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380019,Railway Colony SO Ahmedabad,Blinkit delivers here but Jivo not listed
Ahmedabad,380021,Rajpur Gomtipur SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380022,Behrampura SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380023,Rakhial Udyog Vistar SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380024,I E Bapunagar SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380026,Amraiwadi SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380027,Gandhi Ashram SO Ahmedabad,Blinkit delivers here but Jivo not listed
Ahmedabad,380028,Shah Alam Roza SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380049,Nikol SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380050,Ghodasar SO Ahmedabad,Blinkit delivers here but Jivo not listed
Ahmedabad,380051,Jivraj Park SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380052,Memnagar SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380054,Bodakdev SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380055,Juhapura SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380058,Ambli BO,Blinkit delivers here but Jivo not listed
Ahmedabad,380059,Shilaj BO,Blinkit delivers here but Jivo not listed
Ahmedabad,380061,Ghatlodia SO,Blinkit delivers here but Jivo not listed
Ahmedabad,380063,Sola H B C SO,Blinkit delivers here but Jivo not listed
Ahmedabad,382330,Pardhol BO,Blinkit delivers here but Jivo not listed
Ahmedabad,382345,Saijpur Bogha SO,Blinkit delivers here but Jivo not listed
Ahmedabad,382350,T B Nagar SO,Blinkit delivers here but Jivo not listed
Ahmedabad,382415,Odhav Industrial Estate SO,Blinkit delivers here but Jivo not listed
Ahmedabad,382418,Vastral SO,Blinkit delivers here but Jivo not listed
Ahmedabad,382424,Sughad BO,Blinkit delivers here but Jivo not listed
Ahmedabad,382443,Isanpur SO,Blinkit delivers here but Jivo not listed
Ahmedabad,382445,Vivekanandnagar BO,Blinkit delivers here but Jivo not listed
Ahmedabad,382475,Sardarnagar SO,Blinkit delivers here but Jivo not listed
Ahmedabad,382480,Ranip SO,Blinkit delivers here but Jivo not listed
Ahmedabad,382481,Chandlodia SO,Blinkit delivers here but Jivo not listed
Bengaluru,560010,Rajajinagar H.O,Blinkit delivers here but Jivo not listed
Bengaluru,560108,Anjanapura S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751001,Bhubaneswar G.P.O.,Blinkit delivers here but Jivo not listed
Bhubaneswar,751002,Itipur B.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751003,Andharua B.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751004,Utkal University S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751006,Budheswari Colony S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751007,Saheed Nagar S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751008,Rajbhawan S.O (Khorda),Blinkit delivers here but Jivo not listed
Bhubaneswar,751009,Ashok Nagar S.O (Khorda),Blinkit delivers here but Jivo not listed
Bhubaneswar,751011,C R P Lines S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751012,Nayapalli S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751013,Regional Research Laboratory S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751014,B J B Nagar S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751016,Chandra Sekhar Pur S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751017,Mancheswar B.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751019,Jadupur B.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751021,Sailashree Vihar S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751022,Bhoinagar S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751023,S.E Rly.Proj. Complex S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751024,Kalarahanga B.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751026,N.M.D Parcel Centre Bhubaneswar,Blinkit delivers here but Jivo not listed
Bhubaneswar,751027,International Business Centre,Blinkit delivers here but Jivo not listed
Bhubaneswar,751028,Tamando S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751029,Mahalaxmivihar S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751030,Khandagiri S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751031,Patia S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751032,PAHAL S.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,751033,BARAMUNDA NDC,Blinkit delivers here but Jivo not listed
Bhubaneswar,751034,RASULGARH NDC,Blinkit delivers here but Jivo not listed
Bhubaneswar,752050,Turumal B.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,752101,Jagannathpur B.O,Blinkit delivers here but Jivo not listed
Bhubaneswar,752115,Bhatpatna S.O,Blinkit delivers here but Jivo not listed
Chennai,600002,Anna Road H.O,Blinkit delivers here but Jivo not listed
Chennai,600005,Tiruvallikeni S.O,Blinkit delivers here but Jivo not listed
Chennai,600008,EGMORE MDO,Blinkit delivers here but Jivo not listed
