FORMAT SKU Code	Product Name	ITEM	FORMAT	SKU SAP Code	SKU SAP NAME	Category	Sub Category	Case Pack	Per UNIT	Item Head	Brand	UOM	Per UNIT Value	Category Head	IS LITRE	IS LITRE OIL	PACKAGING COST EXC
EDOGDVWEUPPWVGED	Mustard Oil 5L	MUSTARD 5L	FLIPKART	FG0000011	MUSTARD KACCHI GHANI 5 LTR 4 PCS	MUSTARD	MUSTARD KACCHI GHANI	4	5 LTR	COMMODITY	JIVO	LTR	5	OIL	Y	Y	73.875
GHEGWGQH84YSZN6F	deshiGhee 1KG	DESI GHEE 1KG	FLIPKART	FG0000223	JIVO DESI GHEE 1 LTR 16 PCS	GHEE	DESI GHEE	16	1 LTR	PREMIUM	JIVO	LTR	1	OIL	Y	Y	6.875
EDOGE5WYGYXCRRMF	Extra Light 3L	EXTRA LIGHT 1+1+1L	FLIPKART	FG0000310	EXTRA LIGHT 1 LTR PACK OF 3 SET	OLIVE	EXTRA LIGHT	3	1+1+1 LTR	PREMIUM	JIVO	LTR	3	OIL	Y	Y	9.875
EDOGTERWCWCGYWCH	pomace 1l+1l	SANO POMACE 1+1L	FLIPKART	FG0000339	SANO_POMACE_CANOLA_1+1	OLIVE	SANO POMACE		1+1 LTR	PREMIUM	SANO	LTR	2	OIL	Y	Y	7.875
EDOGTKKPP3TWKYSP	sano POMACE 1l+1l+1L	SANO POMACE 1+1+1L	FLIPKART	FG0000340	SANO_POMACE_CANOLA_2+1	OLIVE	SANO POMACE		1+1+1 LTR	PREMIUM	SANO	LTR	3	OIL	Y	Y	9.875
EDOFTX47SWWQPRVS	Canola 5L	CANOLA 5L	FLIPKART	FG0000004	COLD PRESS 5 LTR 4 PCS	CANOLA	CANOLA	4	5 LTR	PREMIUM	JIVO	LTR	5	OIL	Y	Y	73.875
EDOHYSD9JPGYSX4M	New_Groudnut 1+1L-Local	GROUNDNUT 1+1L	FLIPKART			GROUNDNUT	GROUNDNUT		1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
EDSH3FJV4PEJDFAN	Chiaseed800jar	CHIASEEDS 800G	FLIPKART	FG0000167	CHIA SEEDS 800 GMS 1 PCS	SEEDS	CHIA SEEDS	1	800 GMS	OTHER	JIVO	GMS		OTHER	N	N	0
EDOGRF8RMWNYGJPE	Jivo Gold_5 Ltr	GOLD 5L	FLIPKART	FG0000128	JIVO GOLD 5 LTR 4 PCS	BLENDED	GOLD	4	5 LTR	COMMODITY	JIVO	LTR	5	OIL	Y	Y	73.875
EDOFRXTMJGAE9DCT	Canola 1+1L	CANOLA 1+1L	FLIPKART	FG0000123	CANOLA OIL 1 LTR + 1 LTR COMBO 10 SET	CANOLA	CANOLA	10	1+1 LTR	PREMIUM	JIVO	LTR	2	OIL	Y	Y	7.875
