device,pincode,city,lat,lon,store_id,resolved,auth_accepted,row_count
"kvm1","110094","Delhi",28.7039444,77.2833056,38610,true,1,6
"kvm1","110082","Delhi",28.7721666,77.119,30299,true,1,6
"kvm1","400032","Mumbai",18.96775,72.8216944,37122,true,1,3
"kvm1","201317","Noida",28.52231,77.36425,34130,true,1,6
"mac-pro","110094","Delhi",28.7039444,77.2833056,38610,true,1,6
"mac-pro","110082","Delhi",28.7721666,77.119,30299,true,1,6
"mac-pro","400032","Mumbai",18.96775,72.8216944,37122,true,1,3
"mac-pro","201317","Noida",28.52231,77.36425,34130,true,1,6
"primary-vps","110094","Delhi",28.7039444,77.2833056,38610,true,1,6
"primary-vps","110082","Delhi",28.7721666,77.119,30299,true,1,6
"primary-vps","400032","Mumbai",18.96775,72.8216944,37122,true,1,3
"primary-vps","201317","Noida",28.52231,77.36425,34130,true,1,6
"windows","110094","Delhi",28.7039444,77.2833056,38610,true,1,6
"windows","110082","Delhi",28.7721666,77.119,30299,true,1,6
"windows","400032","Mumbai",18.96775,72.8216944,37122,true,1,3
"windows","201317","Noida",28.52231,77.36425,34130,true,1,6
